t,v
0.0,-88.81541409051773
3.432259064882502e-06,-88.81541409088688
0.03432602290788991,-88.81541778149634
0.1,-88.81542483478282
0.10094144350716272,-88.76553666312705
0.10188288701432544,-88.71565667352776
0.10343480112526825,-88.63344646094626
0.10498671523621106,-88.55125588624743
0.11148099626358887,-88.20754690082066
0.11797527729096668,-87.86419710093169
0.1244695583183445,-87.5211948548051
0.1309638393457223,-87.17852661955047
0.1414281672739808,-86.6270399807057
0.1518924952022393,-86.07632616303071
0.1623568231304978,-85.52633316711022
0.1797876701605291,-84.61165026098087
0.1972185171905604,-83.69862337848603
0.21464936422059172,-82.78704943137483
0.24774541695241087,-81.05958973921706
0.28084146968423,-79.33557886846724
0.31393752241604916,-77.6140505841318
0.3470335751478683,-75.89418986968548
0.38012962787968746,-74.17529319427943
0.4132256806115066,-72.45671966668966
0.44632173334332575,-70.73782291243711
0.4794177860751449,-69.0178316178475
0.5125138388069641,-67.29563963949089
0.5456098915387833,-65.56944528701794
0.5787059442706024,-63.83619290194817
0.6118019970024215,-62.090734351705876
0.6320257792831765,-61.01506871571561
0.6522495615639314,-59.929302357752
0.6724733438446864,-58.82986045057669
0.6926971261254413,-57.71214171047662
0.7129209084061963,-56.57027784081416
0.7331446906869512,-55.396838259915825
0.7533684729677061,-54.182475739609025
0.7735922552484611,-52.91550140774464
0.793816037529216,-51.581357853642395
0.814039819809971,-50.16194062163475
0.8342636020907259,-48.63469667187614
0.8544873843714809,-46.97139013553815
0.8747111666522358,-45.13635735286299
0.8949349489329907,-43.08397072983741
0.9151587312137457,-40.75495848706633
0.9353825134945006,-38.071632662918844
0.9556062957752556,-34.92467831241029
0.9758300780560105,-31.155726390128926
0.9872274958914959,-28.68640341832238
0.9986249137269814,-25.918401936310026
1.0100223315624668,-22.819198147418952
1.0214197493979522,-19.39524666210926
1.0279646224966086,-17.29864547216033
1.034509495595265,-15.126792971645276
1.0410543686939213,-12.899389476395445
1.0475992417925777,-10.637017583978103
1.054144114891234,-8.360248619088985
1.0606889879898904,-6.088633777124912
1.0672338610885468,-3.8396967039603083
1.0737787341872032,-1.6283735408049813
1.0803236072858595,0.5331543290495979
1.084450886210117,1.8659426667563497
1.0885781651343744,3.1731251084047996
1.092705444058632,4.453258182229199
1.0968327229828894,5.70515368987559
1.1,6.64623184922403
1.1008548202797985,6.851399693252667
1.101709640559597,7.0554442812676985
1.1035800003028984,7.498290202389744
1.1054503600461998,7.936300765366454
1.1073207197895012,8.369043483062182
1.1106440145188146,9.124420128162424
1.1166221423711173,10.439206055210924
1.1226002702234201,11.697359658170882
1.128578398075723,12.899071070895308
1.1379474802750416,14.670296260823434
1.1473165624743602,16.307966031794212
1.1566856446736788,17.81758571522089
1.1660547268729975,19.205870782452415
1.1754238090723161,20.480062730160526
1.1847928912716348,21.647532504432597
1.1941619734709534,22.715595545635214
1.210223116858859,24.33554374924364
1.2262842602467647,25.718383057615217
1.2423454036346704,26.89588504265567
1.2672477665449629,28.38077543669749
1.2921501294552553,29.52967970074398
1.3170524923655478,30.416337110619857
1.3419548552758402,31.09816705983881
1.3668572181861327,31.619472505965337
1.3917595810964252,32.01462022657121
1.4166619440067176,32.31061469360995
1.44156430691701,32.52874952054897
1.4664666698273026,32.68576730883492
1.5040239790211622,32.835761834389785
1.541581288215022,32.90936353968225
1.5791385974088816,32.92916299704395
1.6166959066027413,32.91020590883822
1.654253215796601,32.86321872984805
1.6918105249904607,32.79591661266646
1.7293678341843204,32.713991817933014
1.76692514337818,32.621396687949016
1.8044824525720398,32.52080961986051
1.8420397617658995,32.41403632332506
1.8795970709597591,32.30238273920039
1.9171543801536188,32.186832766435025
